disease,tissue,cell type,cell line,sex
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatoma,liver,hepatoma cell line,heparg,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatoma,liver,norwalk virus replicon-bearing hepatoma cell line,hg23,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatoma cell line,plc/prf/5,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
